reviewer_id,store_name,category,store_address,latitude,longitude,rating_count,review_time,review,rating,processed_review_basic,rating_numeric,rating_numerical,state,Topic
19266,McDonald's,Fast food restaurant,"621 Broadway, Newark, NJ 07104, United States",40.7719101,-74.1614754,"1,564",6 years ago,They always for get to give you what you ordered at the drive through.  Not tell cashier but the attached two last window where they had you your order.  The staff often stands around joking or yelling at each other instead of servicing you.,1 star,always get give ordered drive through. tell cashier attached two last window order. staff often stand around joking yelling instead servicing you.,1,1.0,NJ,0
29537,McDonald's,Fast food restaurant,"1415 E State Rd, Fern Park, FL 32730, United States",28.6553497,-81.3426916,"1,618",5 years ago,Neutral,3 stars,neutral,3,3.0,FL,1
20461,McDonald's,Fast food restaurant,"2400 Alliance Gateway Fwy, Fort Worth, TX 76177, United States",32.9580411,-97.3076518,957,2 years ago,Decent food for mcdonalds but 5-10 minutes to get your food unlike most mcdonalds.,2 stars,decent food mcdonalds 5 10 minute get food unlike mcdonalds.,2,2.0,TX,3
23388,McDonald's,Fast food restaurant,"5725 W Irlo Bronson Memorial Hwy, Kissimmee, FL 34746, United States",28.3335081,-81.5137384,"5,566",2 years ago,A drive through line around the building and into the shopping center parking lot that barely moved for 20 minutes made me drive off without ordering.,1 star,drive line around building shopping center parking lot barely moved 20 minute made drive without ordering.,1,1.0,FL,7
30954,McDonald's,Fast food restaurant,"9814 International Dr, Orlando, FL 32819, United States",28.4238144,-81.4612421,"5,468",2 years ago,The slowest service i have seen at a McDonald's.,1 star,slowest service seen mcdonald's.,1,1.0,FL,7
21570,McDonald's,Fast food restaurant,"By Mandalay Bay, 3999 S Las Vegas Blvd, Las Vegas, NV 89119, United States",36.0902437,-115.1758223,"2,365",2 months ago,security stop notch,5 stars,security stop notch,5,5.0,NV,0
20248,McDonald's,Fast food restaurant,"621 Broadway, Newark, NJ 07104, United States",40.7719101,-74.1614754,"1,564",3 years ago,Terrible,1 star,terrible,1,1.0,NJ,4
30497,McDonald's,Fast food restaurant,"9814 International Dr, Orlando, FL 32819, United States",28.4238144,-81.4612421,"5,468",a year ago,Service was slow. It took a long time to get food. My friends waited a long time for their food,3 stars,service slow. took long time get food. friend waited long time food,3,3.0,FL,0
7465,McDonald's,Fast food restaurant,"550 Lawrence Expy, Sunnyvale, CA 94086, United States",37.3854949,-121.9954211,"1,562",3 years ago,Delicious mmmmy favorite,5 stars,delicious mmmmy favorite,5,5.0,CA,4
26826,McDonald's,Fast food restaurant,"10901 Riverside Dr, North Hollywood, CA 91602, United States",34.1525074,-118.3679036,"1,794",4 years ago,Used drive-thru around 2am just to find out that they were only taking cash because the card terminal was not working. I only had a few bucks cash to spend and I even got my oder wrong. Terrible experience!ï¿½ï¿½ï¿,1 star,used drive thru around 2am find taking cash card terminal working. buck cash spend even got oder wrong. terrible experience ,1,1.0,CA,2
25530,McDonald's,Fast food restaurant,"632 S R L Thornton Freeway Service Rd, Dallas, TX 75203, United States",32.7445961,-96.8122859,"2,657",3 weeks ago,Put the animals back on the building,3 stars,put animal back building,3,3.0,TX,7
20837,McDonald's,Fast food restaurant,"2400 Alliance Gateway Fwy, Fort Worth, TX 76177, United States",32.9580411,-97.3076518,957,4 years ago,Excellent ,5 stars,excellent ,5,5.0,TX,6
11476,McDonald's,Fast food restaurant,"1121 Garnet Ave, San Diego, CA 92109, United States",32.7976607,-117.2494697,"1,159",3 years ago,"The slowest mcdonalds I've ever encountered, and the worst part was they got my order incorrect after having to wait that whole time...",2 stars,slowest mcdonalds i've ever encountered worst part got order incorrect wait whole time...,2,2.0,CA,2
31947,McDonald's,Fast food restaurant,"632 S R L Thornton Freeway Service Rd, Dallas, TX 75203, United States",32.7445961,-96.8122859,"2,658",3 years ago,Fun theme,4 stars,fun theme,4,4.0,TX,4
20652,McDonald's,Fast food restaurant,"2400 Alliance Gateway Fwy, Fort Worth, TX 76177, United States",32.9580411,-97.3076518,957,2 years ago,Loved it,5 stars,loved,5,5.0,TX,3
30073,McDonald's,Fast food restaurant,"9814 International Dr, Orlando, FL 32819, United States",28.4238144,-81.4612421,"5,468",10 months ago,Took over half an hour to received food and it was stone cold staff looked demoralise when asked a member of staff about my food she just looked at me and walked away would never go there again spent over $90 dollars for poor service and food.,1 star,took half hour received food stone cold staff looked demoralise asked member staff food looked walked away would never go spent 90 dollar poor service food.,1,1.0,FL,1
18025,McDonald's,Fast food restaurant,"702-2 Haddonfield-Berlin Rd, Voorhees Township, NJ 08043, United States",39.8520594,-74.9810994,933,a year ago,Excellent ,5 stars,excellent ,5,5.0,NJ,6
23932,McDonald's,Fast food restaurant,"1415 E State Rd, Fern Park, FL 32730, United States",28.6553497,-81.3426916,"1,617",2 years ago,Best McDonald's in area. Great staff.,5 stars,best mcdonald's area. great staff.,5,5.0,FL,5
20934,McDonald's,Fast food restaurant,"2400 Alliance Gateway Fwy, Fort Worth, TX 76177, United States",32.9580411,-97.3076518,957,4 years ago,Terrible,1 star,terrible,1,1.0,TX,4
218,McDonald's,Fast food restaurant,"13749 US-183 Hwy, Austin, TX 78750, United States",30.4607176,-97.7928744,"1,240",4 years ago,Employees donï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½t know there product. Was given something that could have put me in the hospital which ,1 star,employee know product. given something could put hospital ,1,1.0,TX,0
27284,McDonald's,Fast food restaurant,"10901 Riverside Dr, North Hollywood, CA 91602, United States",34.1525074,-118.3679036,"1,794",5 years ago,Usual,4 stars,usual,4,4.0,CA,1
19727,McDonald's,Fast food restaurant,"621 Broadway, Newark, NJ 07104, United States",40.7719101,-74.1614754,"1,564",5 years ago,Good,3 stars,good,3,3.0,NJ,5
27738,McDonald's,Fast food restaurant,"5725 W Irlo Bronson Memorial Hwy, Kissimmee, FL 34746, United States",28.3335081,-81.5137384,"5,567",a month ago,It's nice to still have some locations open 24 hours. And despite mobile park/pickup or the dining room being closed. The way in which the team here was able to expedite the dining room was amazing.,5 stars,nice still location open 24 hours. despite mobile park pickup dining room closed. way team able expedite dining room amazing.,5,5.0,FL,1
18182,McDonald's,Fast food restaurant,"1100 N US Hwy 377, Roanoke, TX 76262, United States",33.0093179,-97.2229254,998,6 months ago,Good service but one the staff in the kitchen is way too loud and wouldnï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿,4 stars,good service one staff kitchen way loud ,4,4.0,TX,1
32749,McDonald's,Fast food restaurant,"3501 Biscayne Blvd, Miami, FL 33137, United States",25.8099996,-80.1890981,"2,810",4 years ago,Literally sit in the drive thru line at 3am for over an hour.. horrible!!!,2 stars,literally sit drive thru line 3am hour.. horrible ,2,2.0,FL,6
21065,McDonald's,Fast food restaurant,"2400 Alliance Gateway Fwy, Fort Worth, TX 76177, United States",32.9580411,-97.3076518,957,2 years ago,Excellent ,5 stars,excellent ,5,5.0,TX,6
19872,McDonald's,Fast food restaurant,"621 Broadway, Newark, NJ 07104, United States",40.7719101,-74.1614754,"1,564",7 months ago,Excellent ,5 stars,excellent ,5,5.0,NJ,6
2102,McDonald's,Fast food restaurant,"72-69 Kissena Blvd, Queens, NY 11367, United States",40.7274006,-73.8124604,"2,193",3 weeks ago,Great workers!,5 stars,great worker ,5,5.0,NY,5
14995,McDonald's,Fast food restaurant,"111 Madison St, Oak Park, IL 60302, United States",41.8796564,-87.7779131,"1,454",4 years ago,"The food is fresh, the cashiers are friendly",4 stars,food fresh cashier friendly,4,4.0,IL,5
23725,McDonald's,Fast food restaurant,"1415 E State Rd, Fern Park, FL 32730, United States",28.6553497,-81.3426916,"1,617",4 years ago,"Stopped for nuggets and for once they were fresh. Usually, they're out of the cabinet and have been there well past the discard time, but that's the norm for most McDonalds.",4 stars,stopped nugget fresh. usually they're cabinet well past discard time that's norm mcdonalds.,4,4.0,FL,3
32426,McDonald's,Fast food restaurant,"3501 Biscayne Blvd, Miami, FL 33137, United States",25.8099996,-80.1890981,"2,810",8 months ago,"watch out for the jesse pinkman looking dude outside, heï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï",1 star,watch jesse pinkman looking dude outside ,1,1.0,FL,6
3407,McDonald's,Fast food restaurant,"429 7th Ave, New York, NY 10001, United States",40.7505058,-73.990583,"2,052",3 years ago,Good customer service,5 stars,good customer service,5,5.0,NY,5
12123,McDonald's,Fast food restaurant,"1044 US-11, Champlain, NY 12919, United States",44.9814099,-73.4598199,"1,306",a year ago,"Got breakfast here , they have truck parking.",4 stars,got breakfast truck parking.,4,4.0,NY,7
28966,McDonald's,Fast food restaurant,"1415 E State Rd, Fern Park, FL 32730, United States",28.6553497,-81.3426916,"1,618",2 years ago,"Not as fresh as I would have liked it, but it was good.",4 stars,fresh would liked good.,4,4.0,FL,5
23955,McDonald's,Fast food restaurant,"1415 E State Rd, Fern Park, FL 32730, United States",28.6553497,-81.3426916,"1,617",3 years ago,New construction has grown the place to small. Dont like it.,3 stars,new construction grown place small. dont like it.,3,3.0,FL,4
3786,McDonald's,Fast food restaurant,"429 7th Ave, New York, NY 10001, United States",40.7505058,-73.990583,"2,052",3 years ago,They are delicious,5 stars,delicious,5,5.0,NY,4
27478,McDonald's,Fast food restaurant,"1100 N US Hwy 377, Roanoke, TX 76262, United States",33.0093179,-97.2229254,999,7 years ago,This is the second time I've been to this McDonald's and waited longer than 10 minutes with no service. Went at 2pm no one in line no one in drive thru. #poorservice #lazystaff don't even realize they being photographed while sitting at their table,1 star,second time i've mcdonald's waited longer 10 minute service. went 2pm one line one drive thru. poorservice lazystaff even realize photographed sitting table,1,1.0,TX,6
14540,McDonald's,Fast food restaurant,"25200 I-10 Lot 2, San Antonio, TX 78257, United States",29.6762669,-98.6345801,"1,460",5 years ago,Slow drive thru,1 star,slow drive thru,1,1.0,TX,6
3527,McDonald's,Fast food restaurant,"429 7th Ave, New York, NY 10001, United States",40.7505058,-73.990583,"2,052",3 years ago,Good,4 stars,good,4,4.0,NY,5
29662,McDonald's,Fast food restaurant,"1415 E State Rd, Fern Park, FL 32730, United States",28.6553497,-81.3426916,"1,618",4 years ago,Excellent ,5 stars,excellent ,5,5.0,FL,6
22905,McDonald's,Fast food restaurant,"5725 W Irlo Bronson Memorial Hwy, Kissimmee, FL 34746, United States",28.3335081,-81.5137384,"5,566",10 months ago,The wait was really long in the drive thru but I canï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½t really c,5 stars,wait really long drive thru really c,5,5.0,FL,0
27967,McDonald's,Fast food restaurant,"5725 W Irlo Bronson Memorial Hwy, Kissimmee, FL 34746, United States",28.3335081,-81.5137384,"5,567",a year ago,"Slowest McDonald's I have ever been to in my life. Took an hour just to order in drive thru... Then took another 20 minutes just to get our food (orders 2 burgers, apple pie, and 20pc nugget so shouldn't have taken to long at all",1 star,slowest mcdonald's ever life. took hour order drive thru... took another 20 minute get food order 2 burger apple pie 20pc nugget taken long,1,1.0,FL,4
13400,McDonald's,Fast food restaurant,"1540 2nd St, Santa Monica, CA 90405, United States",34.0122192,-118.4945396,"3,380",5 years ago,"this McDonald's was full of homeless people, and they had a security guard at the door and there was no place to sit because all the homeless people had all the tables.",2 stars,mcdonald's full homeless people security guard door place sit homeless people tables.,2,2.0,CA,7
24629,McDonald's,Fast food restaurant,"9814 International Dr, Orlando, FL 32819, United States",28.4238144,-81.4612421,"5,466",4 weeks ago,Good food,5 stars,good food,5,5.0,FL,5
20647,McDonald's,Fast food restaurant,"2400 Alliance Gateway Fwy, Fort Worth, TX 76177, United States",32.9580411,-97.3076518,957,3 years ago,O star,1 star,star,1,1.0,TX,0
1561,McDonald's,Fast food restaurant,"1698 US-209, Brodheadsville, PA 18322, United States",40.9220806,-75.3999187,"1,028",2 years ago,Excellent ,5 stars,excellent ,5,5.0,PA,6
15494,McDonald's,Fast food restaurant,"8500 US-290, Austin, TX 78724, United States",30.3291349,-97.6606295,"1,406",6 years ago,"I went through the drive through Friday Dec 23, 2016 at about 7:20 a.m. There was a young black female working the window where you pay, and I have to say she set the tone for my day. What a sweetheart, she was all smiles and just a joy for my first stranger encounter of the day. With the way things have been going in this country the last several months, she was a bright spot in an otherwise dreary daily grind, and I will not soon forget how she lifted my spirits all over a sausage burrito and a cup of coffee. She set the bar, good job.",5 stars,went drive friday dec 23 2016 7 20 a.m. young black female working window pay say set tone day. sweetheart smile joy first stranger encounter day. way thing going country last several month bright spot otherwise dreary daily grind soon forget lifted spirit sausage burrito cup coffee. set bar good job.,5,5.0,TX,4
16290,McDonald's,Fast food restaurant,"10901 Riverside Dr, North Hollywood, CA 91602, United States",34.1525074,-118.3679036,"1,795",a month ago,ORDERED A FILET O FISH ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½KETCHUP ONLYï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿,1 star,ordered filet fish ketchup ,1,1.0,CA,3
14477,McDonald's,Fast food restaurant,"25200 I-10 Lot 2, San Antonio, TX 78257, United States",29.6762669,-98.6345801,"1,460",a year ago,Big Mac attack,5 stars,big mac attack,5,5.0,TX,3
9624,McDonald's,Fast food restaurant,"1916 M St NW, Washington, DC 20036, United States",38.9054561,-77.0442355,"1,269",3 years ago,Service a little bit slow,5 stars,service little bit slow,5,5.0,DC,2
28156,McDonald's,Fast food restaurant,"5725 W Irlo Bronson Memorial Hwy, Kissimmee, FL 34746, United States",28.3335081,-81.5137384,"5,567",3 years ago,Amazing! The best McDonald's food I've ever had. Missing food I had to go back for but well worth it. The food made it okay. I didn't mind the inconvenience.,5 stars,amazing best mcdonald's food i've ever had. missing food go back well worth it. food made okay. mind inconvenience.,5,5.0,FL,5
1113,McDonald's,Fast food restaurant,"1698 US-209, Brodheadsville, PA 18322, United States",40.9220806,-75.3999187,"1,028",4 years ago,"Slow for fast food
And milk shake machine is always down",3 stars,slow fast food milk shake machine always,3,3.0,PA,2
30023,McDonald's,Fast food restaurant,"9814 International Dr, Orlando, FL 32819, United States",28.4238144,-81.4612421,"5,468",a year ago,"Updated review 2022: This really is a great McDonald's. Maybe if you don't appreciate it, you haven't been around. The grounds are clean, I saw the manager (Chris) picking up trash around the store. They wear nice uniforms and there was an employee cleaning tables as soon as they were vacant. A very nice lady on morning shift was bringing orders TO THE TABLE ya'll. It was much busier at night so a longer wait but considering there are dozens of hotels nearby, I think service is pretty fast. (2019 Review) I went here three times during my stay in the area and the food was always hot, place clean and staff prompt and courteous. Got a fabulous greeting Memorial Day morning.",5 stars,updated review 2022 really great mcdonald's. maybe appreciate around. ground clean saw manager chris picking trash around store. wear nice uniform employee cleaning table soon vacant. nice lady morning shift bringing order table ya'll. much busier night longer wait considering dozen hotel nearby think service pretty fast. 2019 review went three time stay area food always hot place clean staff prompt courteous. got fabulous greeting memorial day morning.,5,5.0,FL,2
13611,McDonald's,Fast food restaurant,"6875 Sand Lake Rd, Orlando, FL 32819, United States",28.4503866,-81.4714142,"19,671",a year ago,"This McDonald's is definitely a must be location if you're a fan of the Big Mac, the pizza is surprisingly good the staff is super kind they constantly ask you if you need help her if everything is good.

There's plenty of tables to accommodate everybody, wait time and fast.

And if you're Coca-Cola connoisseur the soda fountain is perfect.

Super clean upstairs as a full arcade really cool if you have kids definitely stop by here you have a chance.",5 stars,mcdonald's definitely must location fan big mac pizza surprisingly good staff super kind constantly ask need help everything good. there's plenty table accommodate everybody wait time fast. coca cola connoisseur soda fountain perfect. super clean upstairs full arcade really cool kid definitely stop chance.,5,5.0,FL,5
30725,McDonald's,Fast food restaurant,"9814 International Dr, Orlando, FL 32819, United States",28.4238144,-81.4612421,"5,468",a year ago,...I've been in the drive thru for 15 minutes just for drinks....,1 star,...i've drive thru 15 minute drinks....,1,1.0,FL,6
33200,McDonald's,Fast food restaurant,"3501 Biscayne Blvd, Miami, FL 33137, United States",25.8099996,-80.1890981,"2,810",9 months ago,Poor ,2 stars,poor ,2,2.0,FL,7
16720,McDonald's,Fast food restaurant,"10901 Riverside Dr, North Hollywood, CA 91602, United States",34.1525074,-118.3679036,"1,795",3 years ago,the staff and management are all very friendly and professional,5 stars,staff management friendly professional,5,5.0,CA,5
10268,McDonald's,Fast food restaurant,"690 Alameda St, Los Angeles, CA 90021, United States",34.0352699,-118.2382063,"2,614",a year ago,Yaï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ll need to check yourself on those prices.  Nobody is g,1 star,ya need check prices. nobody g,1,1.0,CA,4
10910,McDonald's,Fast food restaurant,"1650 Washington Ave, Miami Beach, FL 33139, United States",25.7902955,-80.1320774,"4,922",4 years ago,"It was the most terrible Mc Donaldï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½s I ever been!! The staff is completely all over the place.. they donï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½t even now what to do!
It is",1 star,terrible mc donald ever staff completely place.. even,1,1.0,FL,4
5212,McDonald's,Fast food restaurant,"724 Broadway, New York, NY 10003, United States",40.7291264,-73.9932643,"1,670",2 years ago,Neutral,3 stars,neutral,3,3.0,NY,1
9806,McDonald's,Fast food restaurant,"1916 M St NW, Washington, DC 20036, United States",38.9054561,-77.0442355,"1,269",4 years ago,"I couldn't recognize the order, so I waited for 10 minutes and verbally told them, but they finally started making it, but they brought something completely different from the order, so it took even longer. In the meantime, other customers were asking for exchanges if they were different from the order.",2 stars,recognize order waited 10 minute verbally told finally started making brought something completely different order took even longer. meantime customer asking exchange different order.,2,2.0,DC,4
5151,McDonald's,Fast food restaurant,"724 Broadway, New York, NY 10003, United States",40.7291264,-73.9932643,"1,670",4 years ago,Neutral,3 stars,neutral,3,3.0,NY,1
19454,McDonald's,Fast food restaurant,"621 Broadway, Newark, NJ 07104, United States",40.7719101,-74.1614754,"1,564",2 years ago,I liked that the foos was fresh and the staff was nice.,4 stars,liked foos fresh staff nice.,4,4.0,NJ,5
32746,McDonald's,Fast food restaurant,"3501 Biscayne Blvd, Miami, FL 33137, United States",25.8099996,-80.1890981,"2,810",9 months ago,The worst McDonaldï¿½ï¿½ï¿½,1 star,worst mcdonald ,1,1.0,FL,2
11838,McDonald's,Fast food restaurant,"1121 Garnet Ave, San Diego, CA 92109, United States",32.7976607,-117.2494697,"1,159",4 years ago,Neutral,3 stars,neutral,3,3.0,CA,1
10323,McDonald's,Fast food restaurant,"690 Alameda St, Los Angeles, CA 90021, United States",34.0352699,-118.2382063,"2,614",2 years ago,They wouldn't serve me at drive through because I don't have a car & am homeless.  That is inhuman & illegal.  I ll starve to death then.  I haven't eaten in 2 days.,1 star,serve drive car homeless. inhuman illegal. starve death then. eaten 2 days.,1,1.0,CA,6
4284,McDonald's,Fast food restaurant,"724 Broadway, New York, NY 10003, United States",40.7291264,-73.9932643,"1,670",9 months ago,"Not the best McDonald's
Out of stock on alot of items",3 stars,best mcdonald's stock alot item,3,3.0,NY,5
15873,McDonald's,Fast food restaurant,"8500 US-290, Austin, TX 78724, United States",30.3291349,-97.6606295,"1,406",5 years ago,They always forget to give me something!,1 star,always forget give something ,1,1.0,TX,4
18322,McDonald's,Fast food restaurant,"1100 N US Hwy 377, Roanoke, TX 76262, United States",33.0093179,-97.2229254,998,2 years ago,How do you miss a patty on a big mac? -_- First time going there too.,2 stars,miss patty big mac first time going too.,2,2.0,TX,4
21512,McDonald's,Fast food restaurant,"By Mandalay Bay, 3999 S Las Vegas Blvd, Las Vegas, NV 89119, United States",36.0902437,-115.1758223,"2,365",2 years ago,The black people that work here are absolutely extremely rude and very disrespectful to their customers stay away,1 star,black people work absolutely extremely rude disrespectful customer stay away,1,1.0,NV,1
16264,McDonald's,Fast food restaurant,"8500 US-290, Austin, TX 78724, United States",30.3291349,-97.6606295,"1,406",3 years ago,Neutral,3 stars,neutral,3,3.0,TX,1
19178,McDonald's,Fast food restaurant,"621 Broadway, Newark, NJ 07104, United States",40.7719101,-74.1614754,"1,564",a month ago,It's McDonald's! One of the most ratchetest places you can visit for fast food,5 stars,mcdonald's one ratchetest place visit fast food,5,5.0,NJ,5
29666,McDonald's,Fast food restaurant,"1415 E State Rd, Fern Park, FL 32730, United States",28.6553497,-81.3426916,"1,618",4 years ago,Poor ,2 stars,poor ,2,2.0,FL,7
373,McDonald's,Fast food restaurant,"13749 US-183 Hwy, Austin, TX 78750, United States",30.4607176,-97.7928744,"1,240",6 years ago,Not really a McDonald's fan but the locations good,3 stars,really mcdonald's fan location good,3,3.0,TX,5
10839,McDonald's,Fast food restaurant,"1650 Washington Ave, Miami Beach, FL 33139, United States",25.7902955,-80.1320774,"4,922",5 years ago,"Terrible experience to say the least! Workers didnt care & they were rude. Took 15 minutes literally to make a bacon,egg, & cheese biscuit. I would never go to this place unless you were starving and only had a couple bucks to your name!",1 star,terrible experience say least worker didnt care rude. took 15 minute literally make bacon egg cheese biscuit. would never go place unless starving couple buck name ,1,1.0,FL,4
18372,McDonald's,Fast food restaurant,"1100 N US Hwy 377, Roanoke, TX 76262, United States",33.0093179,-97.2229254,998,4 years ago,"No time to make quality prepared food, fries Luke warm, burger buns hard with no moisture . totally disappointing",1 star,time make quality prepared food fry luke warm burger bun hard moisture . totally disappointing,1,1.0,TX,0
